country,women_rep,women_decisons,female_suffrage,gender_equality
Egypt,10.219411764705882,NA,90,0.51745
Botswana,10.1645,NA,100,1.4077
Ivory Coast,10.055,25.2,75,1.25535
Eswatini,10.01,48.9,100,-0.5557
Saudi Arabia,9.935,NA,0,-1.3993
Democratic Republic of the Congo,9.926666666666666,25,54.8224,1.08265
Bhutan,9.763,NA,75,1.4855
The Gambia,9.731,31.95,100,1.6266
Japan,9.375,NA,100,1.307
Burma/Myanmar,9.321666666666665,67.5,60,-0.026700000000000078
Republic of the Congo,8.911999999999999,26.8,100,0.89595
Benin,8.2005,38.333333333333336,100,2.445
Bahrain,7.625,NA,47,0.0585
Maldives,7.0125,57.9,100,1.0265499999999999
Nigeria,5.8375,48.06666666666666,100,0.8308
Comoros,5.502631578947368,20.8,95,0.8321
Sri Lanka,5.4275,NA,100,1.8499999999999999
Iran,4.2235,NA,100,-0.4611
Lebanon,3.8265000000000002,NA,84.2192,0.97665
Haiti,3.8170588235294116,56.3,90,-0.20950000000000002
Kuwait,3.6535,NA,90,-0.2432
Qatar,2.8188235294117643,NA,3.5,-0.763
Solomon Islands,2.0250000000000004,NA,100,-1.1739
Vanuatu,1.6355,NA,100,0.676
Oman,1.37,NA,100,-0.586
Papua New Guinea,1.176,56.7,100,-0.932
Yemen,0.231,NA,100,-1.4777
Hong Kong,NA,NA,100,2.396
Kosovo,NA,NA,100,0.10890000000000001
Palestine/Gaza,NA,NA,0,0.9577500000000001
Palestine/West Bank,NA,NA,36.874900000000004,0.45845
Somaliland,NA,NA,100,-1.823
Taiwan,NA,NA,100,2.1901
Zanzibar,NA,NA,100,1.1115
